,SVid,ContellationType,TDoA_[ms],Pseudoranges_[m]
111,7,3,594018075.473,178082138942497
112,4,1,81.003,24284084
113,5,1,78.351,23489115
114,7,1,69.475,20827985
115,8,1,73.993,22182573
116,9,1,72.32,21680977
117,11,1,81.856,24539721
118,13,1,82.92,24858771
119,23,1,78.63,23572725
120,27,1,80.085,24008979
121,28,1,72.468,21725296
122,30,1,70.751,21210670
123,3,6,83.442,25015363
124,5,6,79.423,23810436
125,9,6,82.576,24755738
126,12,6,87.462,26220356
127,24,6,73.826,22132589
128,25,6,81.223,24350120
129,31,6,92.032,27590384
130,6,3,594018066.107,178082136134568
131,18,3,594018077.294,178082139488293
132,9,3,594018077.375,178082139512812
133,16,3,594018066.267,178082136182523
134,15,3,594018071.9,178082137871425
135,5,3,594018071.408,178082137723920
136,17,3,594018074.887,178082138766832
137,7,3,594018075.471,178082138941849
138,4,1,81.005,24284755
139,5,1,78.351,23489155
140,7,1,69.475,20828000
141,8,1,73.993,22182690
142,9,1,72.322,21681496
143,11,1,81.854,24539289
144,13,1,82.918,24858097
145,23,1,78.632,23573379
146,27,1,80.087,24009439
147,28,1,72.466,21724875
148,30,1,70.75,21210393
149,3,6,83.441,25015067
150,5,6,79.424,23810670
151,9,6,82.578,24756306
152,12,6,87.46,26219940
153,24,6,73.827,22132819
154,25,6,81.223,24349922
155,31,6,92.033,27590838
156,6,3,594018066.107,178082136134600
157,18,3,594018077.291,178082139487607
158,9,3,594018077.374,178082139512311
159,16,3,594018066.266,178082136182420
160,15,3,594018071.902,178082137871906
161,5,3,594018071.411,178082137724633
162,17,3,594018074.886,178082138766600
163,7,3,594018075.469,178082138941207
164,4,1,81.007,24285429
165,5,1,78.352,23489195
166,7,1,69.475,20827998
167,8,1,73.994,22182809
168,9,1,72.323,21682016
169,11,1,81.853,24538859
170,13,1,82.915,24857433
171,23,1,78.635,23574037
172,27,1,80.088,24009891
173,28,1,72.465,21724452
174,30,1,70.749,21210121
175,3,6,83.44,25014772
176,5,6,79.425,23810904
177,9,6,82.58,24756874
178,12,6,87.459,26219531
179,24,6,73.828,22133050
180,25,6,81.222,24349717
181,31,6,92.035,27591291
182,6,3,594018066.107,178082136134511
183,18,3,594018077.289,178082139486955
184,9,3,594018077.372,178082139511820
185,16,3,594018066.267,178082136182452
186,15,3,594018071.904,178082137872379
187,5,3,594018071.413,178082137725403
188,17,3,594018074.885,178082138766334
189,7,3,594018075.467,178082138940546
190,4,1,81.01,24286100
191,5,1,78.352,23489235
192,7,1,69.475,20827995
193,8,1,73.994,22182929
194,9,1,72.325,21682529
195,11,1,81.851,24538424
196,13,1,82.913,24856755
197,23,1,78.637,23574687
198,27,1,80.09,24010345
199,28,1,72.464,21724023
200,30,1,70.748,21209850
201,3,6,83.439,25014479
202,5,6,79.425,23811138
203,9,6,82.582,24757445
204,12,6,87.458,26219113
205,24,6,73.829,22133281
206,25,6,81.221,24349514
207,31,6,92.036,27591766
208,6,3,594018066.107,178082136134527
209,18,3,594018077.287,178082139486287
210,9,3,594018077.37,178082139511334
211,16,3,594018066.267,178082136182447
212,15,3,594018071.905,178082137872860
213,5,3,594018071.416,178082137726125
214,17,3,594018074.885,178082138766138
215,7,3,594018075.464,178082138939909
216,4,1,81.012,24286776
217,5,1,78.352,23489286
218,7,1,69.475,20827998
219,8,1,73.995,22183041
220,9,1,72.327,21683038
221,11,1,81.85,24538011
222,13,1,82.911,24856090
223,23,1,78.639,23575348
224,27,1,80.091,24010800
225,28,1,72.462,21723602
226,30,1,70.748,21209572
227,3,6,83.438,25014182
228,5,6,79.426,23811352
229,9,6,82.584,24758010
230,12,6,87.456,26218688
231,24,6,73.829,22133515
232,25,6,81.221,24349314
233,31,6,92.038,27592213
234,6,3,594018066.107,178082136134552
235,18,3,594018077.285,178082139485611
236,9,3,594018077.369,178082139510826
237,16,3,594018066.267,178082136182442
238,15,3,594018071.907,178082137873342
239,5,3,594018071.418,178082137726867
240,17,3,594018074.884,178082138765930
241,7,3,594018075.462,178082138939252
242,4,1,81.014,24287454
243,5,1,78.352,23489316
244,7,1,69.475,20828001
245,8,1,73.995,22183164
246,9,1,72.329,21683551
247,11,1,81.849,24537589
248,13,1,82.909,24855420
249,23,1,78.641,23576003
250,27,1,80.093,24011248
251,28,1,72.461,21723181
252,30,1,70.747,21209311
253,3,6,83.437,25013897
254,5,6,79.427,23811602
255,9,6,82.586,24758582
256,12,6,87.455,26218266
257,24,6,73.83,22133747
258,25,6,81.22,24349116
259,31,6,92.039,27592664
260,6,3,594018066.107,178082136134553
261,18,3,594018077.283,178082139484961
262,9,3,594018077.367,178082139510351
263,16,3,594018066.267,178082136182451
264,15,3,594018071.908,178082137873807
265,5,3,594018071.421,178082137727605
266,17,3,594018074.883,178082138765674
267,7,3,594018075.46,178082138938598
268,4,1,81.016,24288134
269,5,1,78.352,23489359
270,7,1,69.475,20828007
271,8,1,73.995,22183286
272,9,1,72.33,21684070
273,11,1,81.847,24537129
274,13,1,82.906,24854741
275,23,1,78.643,23576662
276,27,1,80.094,24011711
277,28,1,72.459,21722754
278,30,1,70.746,21209032
279,2,6,94.095,28209016
280,3,6,83.436,25013602
281,5,6,79.428,23811833
282,9,6,82.588,24759153
283,12,6,87.453,26217853
284,24,6,73.831,22133976
285,25,6,81.219,24348917
286,31,6,92.041,27593123
287,6,3,594018066.107,178082136134540
288,18,3,594018077.28,178082139484302
289,9,3,594018077.366,178082139509844
290,16,3,594018066.266,178082136182423
291,15,3,594018071.91,178082137874291
292,5,3,594018071.423,178082137728361
293,17,3,594018074.883,178082138765455
294,7,3,594018075.458,178082138937949
295,4,1,81.019,24288811
296,5,1,78.352,23489411
297,7,1,69.475,20828014
298,8,1,73.996,22183395
299,9,1,72.332,21684588
300,11,1,81.846,24536719
301,13,1,82.904,24854073
302,23,1,78.645,23577319
303,27,1,80.096,24012157
304,28,1,72.458,21722335
305,30,1,70.745,21208762
306,2,6,94.094,28208582
307,3,6,83.435,25013306
308,5,6,79.429,23812070
309,9,6,82.59,24759721
310,12,6,87.452,26217446
311,24,6,73.832,22134210
312,25,6,81.219,24348713
313,31,6,92.042,27593576
314,6,3,594018066.107,178082136134594
315,18,3,594018077.278,178082139483603
316,9,3,594018077.364,178082139509332
317,16,3,594018066.266,178082136182410
318,15,3,594018071.911,178082137874758
319,5,3,594018071.426,178082137729108
320,17,3,594018074.882,178082138765209
321,7,3,594018075.456,178082138937300
322,4,1,81.021,24289484
323,5,1,78.352,23489447
324,7,1,69.475,20828018
325,8,1,73.996,22183512
326,9,1,72.334,21685104
327,11,1,81.844,24536289
328,13,1,82.902,24853407
329,23,1,78.648,23577974
330,27,1,80.097,24012612
331,28,1,72.456,21721908
332,30,1,70.744,21208486
333,2,6,94.092,28208139
334,3,6,83.434,25013016
335,5,6,79.429,23812301
336,9,6,82.591,24760290
337,12,6,87.451,26217034
338,24,6,73.833,22134439
339,25,6,81.218,24348512
340,31,6,92.044,27594030
341,6,3,594018066.107,178082136134507
342,18,3,594018077.276,178082139482997
343,9,3,594018077.362,178082139508841
344,16,3,594018066.267,178082136182444
345,15,3,594018071.913,178082137875237
346,5,3,594018071.428,178082137729832
347,17,3,594018074.881,178082138764974
348,7,3,594018075.454,178082138936653
349,4,1,81.023,24290148
350,5,1,78.353,23489494
351,7,1,69.475,20828018
352,8,1,73.997,22183631
353,9,1,72.335,21685617
354,11,1,81.843,24535846
355,13,1,82.9,24852726
356,23,1,78.65,23578626
357,27,1,80.099,24013080
358,28,1,72.455,21721482
359,30,1,70.743,21208217
360,2,6,94.091,28207699
361,3,6,83.433,25012719
362,5,6,79.43,23812530
363,9,6,82.593,24760866
364,12,6,87.449,26216611
365,24,6,73.833,22134665
366,25,6,81.217,24348319
367,31,6,92.045,27594483
368,6,3,594018066.107,178082136134555
369,18,3,594018077.274,178082139482315
370,9,3,594018077.361,178082139508368
371,16,3,594018066.266,178082136182424
372,15,3,594018071.915,178082137875688
373,5,3,594018071.431,178082137730597
374,17,3,594018074.88,178082138764754
375,7,3,594018075.451,178082138935990
376,4,1,81.026,24290842
377,5,1,78.353,23489523
378,7,1,69.475,20828016
379,8,1,73.997,22183745
380,9,1,72.337,21686131
381,11,1,81.841,24535414
382,13,1,82.898,24852049
383,23,1,78.652,23579270
384,27,1,80.1,24013521
385,28,1,72.454,21721054
386,30,1,70.742,21207945
387,2,6,94.089,28207260
388,3,6,83.432,25012419
389,5,6,79.431,23812758
390,9,6,82.595,24761419
391,12,6,87.448,26216179
392,24,6,73.834,22134891
393,25,6,81.217,24348101
394,31,6,92.047,27594928
395,6,3,594018066.107,178082136134535
396,18,3,594018077.271,178082139481608
397,9,3,594018077.359,178082139507857
398,16,3,594018066.266,178082136182342
399,15,3,594018071.916,178082137876157
400,5,3,594018071.433,178082137731324
401,17,3,594018074.879,178082138764524
402,7,3,594018075.449,178082138935343
403,4,1,81.028,24291534
404,5,1,78.353,23489558
405,7,1,69.475,20828019
406,8,1,73.997,22183860
407,9,1,72.339,21686656
408,11,1,81.84,24534977
409,13,1,82.895,24851379
410,23,1,78.654,23579925
411,27,1,80.102,24013970
412,28,1,72.452,21720629
413,30,1,70.741,21207669
414,2,6,94.088,28206822
415,3,6,83.431,25012112
416,5,6,79.432,23812975
417,9,6,82.597,24761983
418,12,6,87.446,26215763
419,24,6,73.835,22135120
420,25,6,81.216,24347889
421,31,6,92.048,27595386
422,6,3,594018066.107,178082136134550
423,18,3,594018077.269,178082139480971
424,9,3,594018077.357,178082139507351
425,16,3,594018066.266,178082136182401
426,15,3,594018071.918,178082137876640
427,5,3,594018071.435,178082137732066
428,17,3,594018074.879,178082138764305
429,7,3,594018075.447,178082138934698
430,4,1,81.03,24292183
431,5,1,78.353,23489604
432,7,1,69.475,20828020
433,8,1,73.998,22183979
434,9,1,72.341,21687167
435,11,1,81.838,24534539
436,13,1,82.893,24850707
437,23,1,78.656,23580585
438,27,1,80.104,24014429
439,28,1,72.451,21720213
440,30,1,70.74,21207397
441,2,6,94.086,28206383
442,3,6,83.43,25011832
443,5,6,79.432,23813225
444,9,6,82.599,24762557
445,12,6,87.445,26215373
446,24,6,73.836,22135353
447,25,6,81.215,24347691
448,31,6,92.05,27595852
449,6,3,594018066.106,178082136134447
450,18,3,594018077.267,178082139480306
451,9,3,594018077.356,178082139506883
452,16,3,594018066.266,178082136182397
453,15,3,594018071.919,178082137877134
454,5,3,594018071.438,178082137732810
455,17,3,594018074.878,178082138764083
456,7,3,594018075.445,178082138934042
457,4,1,81.032,24292852
458,5,1,78.353,23489664
459,7,1,69.475,20828028
460,8,1,73.998,22184105
461,9,1,72.342,21687676
462,11,1,81.837,24534107
463,13,1,82.891,24850042
464,23,1,78.659,23581244
465,27,1,80.105,24014892
466,28,1,72.449,21719776
467,30,1,70.739,21207124
468,2,6,94.085,28205944
469,3,6,83.43,25011545
470,5,6,79.433,23813464
471,9,6,82.601,24763128
472,12,6,87.444,26214961
473,24,6,73.836,22135577
474,25,6,81.215,24347499
475,31,6,92.051,27596301
476,6,3,594018066.107,178082136134528
477,18,3,594018077.265,178082139479614
478,9,3,594018077.354,178082139506372
479,16,3,594018066.266,178082136182385
480,15,3,594018071.921,178082137877610
481,5,3,594018071.441,178082137733583
482,17,3,594018074.877,178082138763847
483,7,3,594018075.443,178082138933410
484,4,1,81.034,24293531
485,5,1,78.353,23489699
486,7,1,69.475,20828032
487,8,1,73.999,22184223
488,9,1,72.344,21688196
489,11,1,81.836,24533682
490,13,1,82.889,24849375
491,23,1,78.661,23581899
492,27,1,80.107,24015344
493,28,1,72.448,21719361
494,30,1,70.738,21206855
495,2,6,94.084,28205531
496,3,6,83.429,25011250
497,5,6,79.434,23813703
498,9,6,82.603,24763696
499,12,6,87.442,26214548
500,24,6,73.837,22135812
501,25,6,81.214,24347306
502,31,6,92.053,27596743
503,6,3,594018066.107,178082136134495
504,18,3,594018077.263,178082139478961
505,9,3,594018077.352,178082139505881
506,16,3,594018066.267,178082136182451
507,15,3,594018071.923,178082137878082
508,5,3,594018071.443,178082137734319
509,17,3,594018074.876,178082138763624
510,7,3,594018075.441,178082138932764
511,4,1,81.037,24294205
512,5,1,78.353,23489742
513,7,1,69.475,20828039
514,8,1,73.999,22184342
515,9,1,72.346,21688720
516,11,1,81.834,24533249
517,13,1,82.886,24848706
518,23,1,78.663,23582556
519,27,1,80.108,24015800
520,28,1,72.447,21718932
521,30,1,70.738,21206586
522,2,6,94.082,28205079
523,3,6,83.428,25010961
524,5,6,79.435,23813935
525,9,6,82.605,24764264
526,12,6,87.441,26214137
527,24,6,73.838,22136046
528,25,6,81.213,24347096
529,31,6,92.054,27597209
530,6,3,594018066.107,178082136134618
531,18,3,594018077.26,178082139478330
532,9,3,594018077.351,178082139505385
533,16,3,594018066.266,178082136182393
534,15,3,594018071.924,178082137878573
535,5,3,594018071.445,178082137735050
536,17,3,594018074.876,178082138763396
537,7,3,594018075.438,178082138932109
538,4,1,81.039,24294886
539,5,1,78.354,23489789
540,7,1,69.475,20828046
541,8,1,73.999,22184468
542,9,1,72.347,21689229
543,11,1,81.833,24532823
544,13,1,82.884,24848043
545,23,1,78.665,23583208
546,27,1,80.11,24016264
547,28,1,72.445,21718503
548,30,1,70.737,21206314
549,2,6,94.081,28204651
550,3,6,83.427,25010671
551,5,6,79.436,23814170
552,9,6,82.607,24764834
553,12,6,87.44,26213728
554,24,6,73.839,22136282
555,25,6,81.213,24346901
556,31,6,92.056,27597663
557,6,3,594018066.107,178082136134578
558,18,3,594018077.258,178082139477639
559,9,3,594018077.349,178082139504898
560,16,3,594018066.266,178082136182383
561,15,3,594018071.926,178082137879043
562,5,3,594018071.448,178082137735771
563,17,3,594018074.875,178082138763189
564,7,3,594018075.436,178082138931462
565,4,1,81.041,24295566
566,5,1,78.354,23489836
567,7,1,69.475,20828055
568,8,1,74.0,22184587
569,9,1,72.349,21689755
570,11,1,81.831,24532385
571,13,1,82.882,24847381
572,23,1,78.667,23583865
573,27,1,80.111,24016717
574,28,1,72.444,21718090
575,30,1,70.736,21206042
576,2,6,94.079,28204216
577,3,6,83.426,25010378
578,5,6,79.436,23814401
579,9,6,82.609,24765413
580,12,6,87.438,26213327
581,24,6,73.839,22136513
582,25,6,81.212,24346698
583,31,6,92.057,27598122
584,6,3,594018066.107,178082136134573
585,18,3,594018077.256,178082139476992
586,9,3,594018077.347,178082139504421
587,16,3,594018066.266,178082136182389
588,15,3,594018071.927,178082137879494
589,5,3,594018071.45,178082137736531
590,17,3,594018074.874,178082138762962
591,7,3,594018075.434,178082138930816
592,4,1,81.044,24296242
593,5,1,78.354,23489871
594,7,1,69.475,20828046
595,8,1,74.0,22184712
596,9,1,72.351,21690278
597,11,1,81.83,24531950
598,13,1,82.88,24846702
599,23,1,78.67,23584525
600,27,1,80.113,24017176
601,28,1,72.442,21717663
602,30,1,70.735,21205771
603,2,6,94.078,28203781
604,3,6,83.425,25010086
605,5,6,79.437,23814641
606,9,6,82.61,24765976
607,12,6,87.437,26212899
608,24,6,73.84,22136742
609,25,6,81.211,24346504
610,31,6,92.059,27598583
611,6,3,594018066.107,178082136134523
612,18,3,594018077.254,178082139476319
613,9,3,594018077.346,178082139503924
614,16,3,594018066.266,178082136182359
615,15,3,594018071.929,178082137879995
616,5,3,594018071.453,178082137737289
617,17,3,594018074.873,178082138762711
618,7,3,594018075.432,178082138930162
619,4,1,81.046,24296902
620,5,1,78.354,23489928
621,7,1,69.475,20828055
622,8,1,74.001,22184824
623,9,1,72.353,21690784
624,11,1,81.828,24531527
625,13,1,82.877,24846020
626,23,1,78.672,23585178
627,27,1,80.114,24017633
628,28,1,72.441,21717241
629,30,1,70.734,21205501
630,2,6,94.076,28203346
631,3,6,83.424,25009790
632,5,6,79.438,23814881
633,9,6,82.612,24766541
634,12,6,87.436,26212504
635,24,6,73.841,22136973
636,25,6,81.211,24346300
637,31,6,92.06,27599023
638,6,3,594018066.107,178082136134556
639,18,3,594018077.252,178082139475670
640,9,3,594018077.344,178082139503418
641,16,3,594018066.266,178082136182399
642,15,3,594018071.931,178082137880479
643,5,3,594018071.455,178082137738039
644,17,3,594018074.873,178082138762491
645,7,3,594018075.43,178082138929528
646,4,1,81.048,24297586
647,5,1,78.354,23489965
648,7,1,69.475,20828068
649,8,1,74.001,22184948
650,9,1,72.354,21691306
651,11,1,81.827,24531082
652,13,1,82.875,24845362
653,23,1,78.674,23585839
654,27,1,80.116,24018097
655,28,1,72.44,21716815
656,30,1,70.733,21205232
657,2,6,94.075,28202911
658,3,6,83.423,25009504
659,5,6,79.439,23815119
660,9,6,82.614,24767117
661,12,6,87.434,26212092
662,24,6,73.842,22137211
663,25,6,81.21,24346099
664,31,6,92.062,27599494
665,6,3,594018066.107,178082136134555
666,18,3,594018077.249,178082139475013
667,9,3,594018077.342,178082139502931
668,16,3,594018066.266,178082136182365
669,15,3,594018071.932,178082137880957
670,5,3,594018071.458,178082137738799
671,17,3,594018074.872,178082138762273
672,7,3,594018075.428,178082138928889
673,4,1,81.05,24298271
674,5,1,78.354,23490015
675,7,1,69.475,20828080
676,8,1,74.001,22185075
677,9,1,72.356,21691829
678,11,1,81.825,24530653
679,13,1,82.873,24844700
680,23,1,78.676,23586500
681,27,1,80.117,24018558
682,28,1,72.438,21716393
683,30,1,70.732,21204966
684,2,6,94.073,28202488
685,3,6,83.422,25009218
686,5,6,79.439,23815354
687,9,6,82.616,24767695
688,12,6,87.433,26211680
689,24,6,73.843,22137445
690,25,6,81.209,24345905
691,31,6,92.064,27599960
692,6,3,594018066.107,178082136134585
693,18,3,594018077.247,178082139474386
694,9,3,594018077.341,178082139502440
695,16,3,594018066.266,178082136182380
696,15,3,594018071.934,178082137881440
697,5,3,594018071.46,178082137739526
698,17,3,594018074.871,178082138762086
699,7,3,594018075.425,178082138928239
700,4,1,81.053,24298943
701,5,1,78.354,23490069
702,7,1,69.475,20828085
703,8,1,74.002,22185203
704,9,1,72.358,21692344
705,11,1,81.824,24530224
706,13,1,82.871,24844060
707,23,1,78.678,23587159
708,27,1,80.119,24019012
709,28,1,72.437,21715982
710,30,1,70.731,21204699
711,2,6,94.072,28202056
712,3,6,83.421,25008931
713,5,6,79.44,23815603
714,9,6,82.618,24768271
715,12,6,87.431,26211267
716,24,6,73.843,22137682
717,25,6,81.209,24345709
718,31,6,92.065,27600417
719,6,3,594018066.106,178082136134438
720,18,3,594018077.244,178082139473508
721,9,3,594018077.339,178082139501800
722,16,3,594018066.266,178082136182244
723,15,3,594018071.935,178082137881763
724,5,3,594018071.462,178082137740128
725,17,3,594018074.87,178082138761729
726,7,3,594018075.423,178082138927449
727,4,1,81.054,24299478
728,5,1,78.354,23489960
729,7,1,69.475,20827942
730,8,1,74.002,22185178
731,9,1,72.359,21692728
732,11,1,81.822,24529649
733,13,1,82.868,24843186
734,23,1,78.68,23587665
735,27,1,80.12,24019333
736,28,1,72.435,21715413
737,30,1,70.73,21204289
738,2,6,94.07,28201464
739,3,6,83.419,25008494
740,5,6,79.441,23815687
741,9,6,82.619,24768687
742,12,6,87.429,26210702
743,24,6,73.844,22137766
744,25,6,81.207,24345363
745,31,6,92.066,27600724
746,6,3,594018066.106,178082136134423
747,18,3,594018077.242,178082139472861
748,9,3,594018077.337,178082139501326
749,16,3,594018066.266,178082136182188
750,15,3,594018071.936,178082137882256
751,5,3,594018071.465,178082137740877
752,17,3,594018074.869,178082138761477
753,7,3,594018075.421,178082138926809
754,4,1,81.057,24300149
755,5,1,78.354,23490009
756,7,1,69.475,20827953
757,8,1,74.002,22185302
758,9,1,72.361,21693242
759,11,1,81.821,24529216
760,13,1,82.866,24842563
761,23,1,78.682,23588330
762,27,1,80.121,24019797
763,28,1,72.433,21714987
764,30,1,70.729,21204015
765,2,6,94.069,28201045
766,3,6,83.418,25008206
767,5,6,79.441,23815925
768,9,6,82.621,24769259
769,12,6,87.428,26210289
770,24,6,73.844,22138004
771,25,6,81.207,24345164
772,31,6,92.068,27601182
773,6,3,594018066.106,178082136134429
774,18,3,594018077.24,178082139472205
775,9,3,594018077.335,178082139500836
776,16,3,594018066.266,178082136182217
777,15,3,594018071.938,178082137882757
778,5,3,594018071.467,178082137741609
779,17,3,594018074.868,178082138761238
780,7,3,594018075.419,178082138926166
781,4,1,81.059,24300835
782,5,1,78.354,23490065
783,7,1,69.475,20827961
784,8,1,74.003,22185439
785,9,1,72.363,21693765
786,11,1,81.819,24528793
787,13,1,82.864,24841881
788,23,1,78.684,23588993
789,27,1,80.123,24020258
790,28,1,72.432,21714573
791,30,1,70.728,21203756
792,2,6,94.067,28200615
793,3,6,83.417,25007918
794,5,6,79.442,23816166
795,9,6,82.623,24769835
796,12,6,87.427,26209877
797,24,6,73.845,22138243
798,25,6,81.206,24344972
799,31,6,92.069,27601645
800,6,3,594018066.106,178082136134457
801,18,3,594018077.238,178082139471574
802,9,3,594018077.334,178082139500318
803,16,3,594018066.266,178082136182244
804,15,3,594018071.94,178082137883213
805,5,3,594018071.47,178082137742376
806,17,3,594018074.868,178082138761025
807,7,3,594018075.416,178082138925520
808,4,1,81.061,24301528
809,5,1,78.355,23490109
810,7,1,69.475,20827978
811,8,1,74.003,22185559
812,9,1,72.364,21694292
813,11,1,81.818,24528377
814,13,1,82.861,24841223
815,23,1,78.687,23589654
816,27,1,80.125,24020726
817,28,1,72.431,21714151
818,30,1,70.727,21203486
819,2,6,94.066,28200186
820,3,6,83.416,25007637
821,5,6,79.443,23816410
822,9,6,82.625,24770409
823,12,6,87.425,26209464
824,24,6,73.846,22138481
825,25,6,81.205,24344774
826,31,6,92.071,27602109
827,6,3,594018066.106,178082136134437
828,18,3,594018077.236,178082139470868
829,9,3,594018077.332,178082139499875
830,16,3,594018066.266,178082136182221
831,15,3,594018071.941,178082137883701
832,5,3,594018071.472,178082137743131
833,17,3,594018074.867,178082138760800
834,7,3,594018075.414,178082138924878
835,4,1,81.063,24302196
836,5,1,78.355,23490161
837,7,1,69.475,20827987
838,8,1,74.003,22185684
839,9,1,72.366,21694815
840,11,1,81.816,24527936
841,13,1,82.859,24840549
842,23,1,78.689,23590315
843,27,1,80.126,24021183
844,28,1,72.429,21713738
845,30,1,70.726,21203230
846,2,6,94.064,28199753
847,3,6,83.416,25007349
848,5,6,79.444,23816649
849,9,6,82.627,24770985
850,12,6,87.424,26209108
851,24,6,73.847,22138717
852,25,6,81.205,24344579
853,31,6,92.072,27602565
854,6,3,594018066.106,178082136134459
855,18,3,594018077.233,178082139470218
856,9,3,594018077.33,178082139499328
857,16,3,594018066.266,178082136182238
858,15,3,594018071.943,178082137884181
859,5,3,594018071.475,178082137743913
860,17,3,594018074.866,178082138760584
861,7,3,594018075.412,178082138924244
862,4,1,81.066,24302899
863,5,1,78.355,23490216
864,7,1,69.475,20828001
865,8,1,74.004,22185814
866,9,1,72.368,21695338
867,11,1,81.815,24527505
868,13,1,82.857,24839896
869,23,1,78.691,23590971
870,27,1,80.128,24021651
871,28,1,72.428,21713305
872,30,1,70.725,21202954
873,2,6,94.063,28199310
874,3,6,83.415,25007058
875,5,6,79.445,23816898
876,9,6,82.629,24771561
877,12,6,87.423,26208702
878,24,6,73.848,22138952
879,25,6,81.204,24344386
880,31,6,92.074,27603029
881,6,3,594018066.107,178082136134493
882,18,3,594018077.231,178082139469557
883,9,3,594018077.329,178082139498881
884,16,3,594018066.266,178082136182238
885,15,3,594018071.944,178082137884650
886,5,3,594018071.477,178082137744614
887,17,3,594018074.866,178082138760363
888,7,3,594018075.41,178082138923608
889,4,1,81.068,24303552
890,5,1,78.355,23490273
891,7,1,69.475,20828000
892,8,1,74.004,22185942
893,9,1,72.37,21695862
894,11,1,81.814,24527076
895,13,1,82.855,24839218
896,23,1,78.693,23591634
897,27,1,80.129,24022104
898,28,1,72.426,21712886
899,30,1,70.725,21202680
900,2,6,94.061,28198879
901,3,6,83.414,25006773
902,5,6,79.445,23817130
903,9,6,82.631,24772132
904,12,6,87.421,26208296
905,24,6,73.848,22139187
906,25,6,81.203,24344187
907,31,6,92.075,27603483
908,6,3,594018066.106,178082136134457
909,18,3,594018077.229,178082139468921
910,9,3,594018077.327,178082139498363
911,16,3,594018066.266,178082136182240
912,15,3,594018071.946,178082137885129
913,5,3,594018071.48,178082137745385
914,17,3,594018074.865,178082138760143
