,seconds of week [s],SV,pr [m],sat x ECEF [m],sat y ECEF [m],sat z ECEF [m]
38,6,3,17029385.912904564,8000000.0,15000000.0,-1000000.0
39,6,4,40078055.52142824,2000000.0,-40000000.0,-1500000.0
40,6,5,22392852.02680089,-1200000.0,-10000000.0,20000000.0
41,6,6,25722381.751203313,800000.0,-25000000.0,6000000.0
42,7,1,30103979.65721971,15000000.0,-25000000.0,-7500000.0
43,7,2,25317980.348029085,-20000000.0,4000000.0,15000000.0
44,7,3,17029382.830358293,8000000.0,15000000.0,-1000000.0
45,7,4,40078049.75154504,2000000.0,-40000000.0,-1500000.0
46,7,5,22392850.566788502,-1200000.0,-10000000.0,20000000.0
47,7,6,25722368.075230528,800000.0,-25000000.0,6000000.0
48,8,1,30103981.66729665,15000000.0,-25000000.0,-7500000.0
49,8,2,25317998.016013715,-20000000.0,4000000.0,15000000.0
50,8,3,17029379.673776347,8000000.0,15000000.0,-1000000.0
51,8,4,40078051.532869734,2000000.0,-40000000.0,-1500000.0
52,8,5,22392843.704269182,-1200000.0,-10000000.0,20000000.0
53,8,6,25722372.05624823,800000.0,-25000000.0,6000000.0
54,9,1,30103976.699350532,15000000.0,-25000000.0,-7500000.0
55,9,2,25317979.81050741,-20000000.0,4000000.0,15000000.0
56,9,3,17029371.78845667,8000000.0,15000000.0,-1000000.0
57,9,4,40078042.687267445,2000000.0,-40000000.0,-1500000.0
58,9,5,22392865.745713025,-1200000.0,-10000000.0,20000000.0
59,9,6,25722364.806587372,800000.0,-25000000.0,6000000.0
60,10,1,30103998.35395311,15000000.0,-25000000.0,-7500000.0
61,10,2,25317986.143043976,-20000000.0,4000000.0,15000000.0
62,10,3,17029399.705007944,8000000.0,15000000.0,-1000000.0
63,10,4,40078054.0752411,2000000.0,-40000000.0,-1500000.0
64,10,5,22392861.50480043,-1200000.0,-10000000.0,20000000.0
65,10,6,25722363.051184077,800000.0,-25000000.0,6000000.0
66,11,1,30103976.94752485,15000000.0,-25000000.0,-7500000.0
67,11,2,25317992.63331905,-20000000.0,4000000.0,15000000.0
68,11,3,17029389.489359867,8000000.0,15000000.0,-1000000.0
69,11,4,40078042.14127496,2000000.0,-40000000.0,-1500000.0
70,11,5,22392865.22647004,-1200000.0,-10000000.0,20000000.0
71,11,6,25722365.513877347,800000.0,-25000000.0,6000000.0
72,12,1,30103992.8043007,15000000.0,-25000000.0,-7500000.0
73,12,2,25317977.220824964,-20000000.0,4000000.0,15000000.0
74,12,3,17029386.79486044,8000000.0,15000000.0,-1000000.0
75,12,4,40078037.65259588,2000000.0,-40000000.0,-1500000.0
76,12,5,22392841.49699022,-1200000.0,-10000000.0,20000000.0
77,12,6,25722358.59355105,800000.0,-25000000.0,6000000.0
78,13,1,30103993.130302593,15000000.0,-25000000.0,-7500000.0
79,13,2,25317977.385930683,-20000000.0,4000000.0,15000000.0
80,13,3,17029368.685329475,8000000.0,15000000.0,-1000000.0
81,13,4,40078036.39071372,2000000.0,-40000000.0,-1500000.0
82,13,5,22392843.083218962,-1200000.0,-10000000.0,20000000.0
83,13,6,25722354.511245213,800000.0,-25000000.0,6000000.0
84,14,1,30103977.430070605,15000000.0,-25000000.0,-7500000.0
85,14,2,25317984.17022195,-20000000.0,4000000.0,15000000.0
86,14,3,17029383.889238805,8000000.0,15000000.0,-1000000.0
87,14,4,40078047.6052024,2000000.0,-40000000.0,-1500000.0
88,14,5,22392863.280424338,-1200000.0,-10000000.0,20000000.0
89,14,6,25722368.656836245,800000.0,-25000000.0,6000000.0
90,15,1,30103972.980722222,15000000.0,-25000000.0,-7500000.0
91,15,2,25317986.25767768,-20000000.0,4000000.0,15000000.0
92,15,3,17029364.664081566,8000000.0,15000000.0,-1000000.0
93,15,4,40078052.1308897,2000000.0,-40000000.0,-1500000.0
94,15,5,22392856.22993933,-1200000.0,-10000000.0,20000000.0
95,15,6,25722347.021883428,800000.0,-25000000.0,6000000.0
96,16,1,30103972.711180143,15000000.0,-25000000.0,-7500000.0
97,16,2,25317987.10963315,-20000000.0,4000000.0,15000000.0
98,16,3,17029374.096625835,8000000.0,15000000.0,-1000000.0
99,16,4,40078054.18955031,2000000.0,-40000000.0,-1500000.0
100,16,5,22392853.398742512,-1200000.0,-10000000.0,20000000.0
101,16,6,25722378.102836963,800000.0,-25000000.0,6000000.0
102,17,1,30103964.79596665,15000000.0,-25000000.0,-7500000.0
103,17,2,25317990.742871597,-20000000.0,4000000.0,15000000.0
104,17,3,17029399.282443065,8000000.0,15000000.0,-1000000.0
105,17,4,40078040.3533399,2000000.0,-40000000.0,-1500000.0
106,17,5,22392858.37811997,-1200000.0,-10000000.0,20000000.0
107,17,6,25722366.543891437,800000.0,-25000000.0,6000000.0
108,18,1,30103988.201551814,15000000.0,-25000000.0,-7500000.0
109,18,2,25318013.677780747,-20000000.0,4000000.0,15000000.0
110,18,3,17029376.209426332,8000000.0,15000000.0,-1000000.0
111,18,4,40078060.210573174,2000000.0,-40000000.0,-1500000.0
112,18,5,22392849.99528044,-1200000.0,-10000000.0,20000000.0
113,18,6,25722356.51318085,800000.0,-25000000.0,6000000.0
114,19,1,30103968.41712519,15000000.0,-25000000.0,-7500000.0
115,19,2,25317997.100297492,-20000000.0,4000000.0,15000000.0
116,19,3,17029376.228041843,8000000.0,15000000.0,-1000000.0
117,19,4,40078050.06122538,2000000.0,-40000000.0,-1500000.0
118,19,5,22392855.62866463,-1200000.0,-10000000.0,20000000.0
119,19,6,25722369.58747973,800000.0,-25000000.0,6000000.0
120,20,1,30103968.37270207,15000000.0,-25000000.0,-7500000.0
121,20,2,25317996.428933393,-20000000.0,4000000.0,15000000.0
122,20,3,17029378.809616506,8000000.0,15000000.0,-1000000.0
123,20,4,40078048.41525035,2000000.0,-40000000.0,-1500000.0
124,20,5,22392858.04117048,-1200000.0,-10000000.0,20000000.0
125,20,6,25722356.01132693,800000.0,-25000000.0,6000000.0
126,21,1,30103978.731327984,15000000.0,-25000000.0,-7500000.0
127,21,2,25317991.06235248,-20000000.0,4000000.0,15000000.0
128,21,3,17029376.874963194,8000000.0,15000000.0,-1000000.0
129,21,4,40078043.78028383,2000000.0,-40000000.0,-1500000.0
130,21,5,22392847.965457365,-1200000.0,-10000000.0,20000000.0
131,21,6,25722357.163093403,800000.0,-25000000.0,6000000.0
132,22,1,30103998.07493019,15000000.0,-25000000.0,-7500000.0
133,22,2,25317997.818608005,-20000000.0,4000000.0,15000000.0
134,22,3,17029396.023119543,8000000.0,15000000.0,-1000000.0
135,22,4,40078053.927256666,2000000.0,-40000000.0,-1500000.0
136,22,5,22392853.479371328,-1200000.0,-10000000.0,20000000.0
137,22,6,25722365.298569594,800000.0,-25000000.0,6000000.0
138,23,1,30103985.85873449,15000000.0,-25000000.0,-7500000.0
139,23,2,25317997.506867465,-20000000.0,4000000.0,15000000.0
140,23,3,17029381.680071957,8000000.0,15000000.0,-1000000.0
141,23,4,40078047.174559966,2000000.0,-40000000.0,-1500000.0
142,23,5,22392852.3447383,-1200000.0,-10000000.0,20000000.0
143,23,6,25722360.589670837,800000.0,-25000000.0,6000000.0
144,24,1,30103975.8333384,15000000.0,-25000000.0,-7500000.0
145,24,2,25317981.144454367,-20000000.0,4000000.0,15000000.0
146,24,3,17029357.156586543,8000000.0,15000000.0,-1000000.0
147,24,4,40078053.73995189,2000000.0,-40000000.0,-1500000.0
148,24,5,22392872.863868635,-1200000.0,-10000000.0,20000000.0
149,24,6,25722352.618956685,800000.0,-25000000.0,6000000.0
150,25,1,30103976.27826404,15000000.0,-25000000.0,-7500000.0
151,25,2,25317991.593749814,-20000000.0,4000000.0,15000000.0
152,25,3,17029388.176373687,8000000.0,15000000.0,-1000000.0
153,25,4,40078057.39957471,2000000.0,-40000000.0,-1500000.0
154,25,5,22392867.17279881,-1200000.0,-10000000.0,20000000.0
155,25,6,25722346.899709675,800000.0,-25000000.0,6000000.0
156,26,1,30103979.32424944,15000000.0,-25000000.0,-7500000.0
157,26,2,25317988.823128927,-20000000.0,4000000.0,15000000.0
158,26,3,17029359.114247546,8000000.0,15000000.0,-1000000.0
159,26,4,40078057.41182381,2000000.0,-40000000.0,-1500000.0
160,26,5,22392855.0952586,-1200000.0,-10000000.0,20000000.0
161,26,6,25722347.914457068,800000.0,-25000000.0,6000000.0
162,27,1,30103975.472834382,15000000.0,-25000000.0,-7500000.0
163,27,2,25317991.455440454,-20000000.0,4000000.0,15000000.0
164,27,3,17029358.36551483,8000000.0,15000000.0,-1000000.0
165,27,4,40078036.75164441,2000000.0,-40000000.0,-1500000.0
166,27,5,22392863.767237213,-1200000.0,-10000000.0,20000000.0
167,27,6,25722367.819759086,800000.0,-25000000.0,6000000.0
168,28,1,30103974.57187302,15000000.0,-25000000.0,-7500000.0
169,28,2,25317996.287981827,-20000000.0,4000000.0,15000000.0
170,28,3,17029367.471906945,8000000.0,15000000.0,-1000000.0
171,28,4,40078047.41544568,2000000.0,-40000000.0,-1500000.0
172,28,5,22392864.514738154,-1200000.0,-10000000.0,20000000.0
173,28,6,25722343.897033013,800000.0,-25000000.0,6000000.0
174,29,1,30103976.697077513,15000000.0,-25000000.0,-7500000.0
175,29,2,25318012.95287418,-20000000.0,4000000.0,15000000.0
176,29,3,17029364.6475351,8000000.0,15000000.0,-1000000.0
177,29,4,40078038.08912065,2000000.0,-40000000.0,-1500000.0
178,29,5,22392851.904396076,-1200000.0,-10000000.0,20000000.0
179,29,6,25722361.427072793,800000.0,-25000000.0,6000000.0
180,30,1,30103969.497693207,15000000.0,-25000000.0,-7500000.0
181,30,2,25318001.490036752,-20000000.0,4000000.0,15000000.0
182,30,3,17029379.978878297,8000000.0,15000000.0,-1000000.0
183,30,4,40078064.973083265,2000000.0,-40000000.0,-1500000.0
184,30,5,22392858.78206055,-1200000.0,-10000000.0,20000000.0
185,30,6,25722361.05807134,800000.0,-25000000.0,6000000.0
186,31,1,30103973.164194815,15000000.0,-25000000.0,-7500000.0
187,31,2,25317995.2896749,-20000000.0,4000000.0,15000000.0
188,31,3,17029360.772216488,8000000.0,15000000.0,-1000000.0
189,31,4,40078059.83669329,2000000.0,-40000000.0,-1500000.0
190,31,5,22392856.360467207,-1200000.0,-10000000.0,20000000.0
191,31,6,25722366.85446377,800000.0,-25000000.0,6000000.0
192,32,1,30103976.276493493,15000000.0,-25000000.0,-7500000.0
193,32,2,25318003.589937694,-20000000.0,4000000.0,15000000.0
194,32,3,17029356.978893172,8000000.0,15000000.0,-1000000.0
195,32,4,40078045.617771596,2000000.0,-40000000.0,-1500000.0
196,32,5,22392850.13454157,-1200000.0,-10000000.0,20000000.0
197,32,6,25722349.39658909,800000.0,-25000000.0,6000000.0
198,33,1,30103964.444923326,15000000.0,-25000000.0,-7500000.0
199,33,2,25318015.05519805,-20000000.0,4000000.0,15000000.0
200,33,3,17029394.783640474,8000000.0,15000000.0,-1000000.0
201,33,4,40078041.995754264,2000000.0,-40000000.0,-1500000.0
202,33,5,22392862.04612527,-1200000.0,-10000000.0,20000000.0
203,33,6,25722348.971125912,800000.0,-25000000.0,6000000.0
204,34,1,30103973.77622156,15000000.0,-25000000.0,-7500000.0
205,34,2,25317990.85193978,-20000000.0,4000000.0,15000000.0
206,34,3,17029363.674886532,8000000.0,15000000.0,-1000000.0
207,34,4,40078035.37743474,2000000.0,-40000000.0,-1500000.0
208,34,5,22392849.646057244,-1200000.0,-10000000.0,20000000.0
209,34,6,25722365.280340105,800000.0,-25000000.0,6000000.0
210,35,1,30103963.490328338,15000000.0,-25000000.0,-7500000.0
211,35,2,25318011.585613556,-20000000.0,4000000.0,15000000.0
212,35,3,17029369.77507305,8000000.0,15000000.0,-1000000.0
213,35,4,40078057.4604951,2000000.0,-40000000.0,-1500000.0
214,35,5,22392864.221312895,-1200000.0,-10000000.0,20000000.0
215,35,6,25722354.672490317,800000.0,-25000000.0,6000000.0
216,36,1,30103967.731947288,15000000.0,-25000000.0,-7500000.0
217,36,2,25318008.36202501,-20000000.0,4000000.0,15000000.0
218,36,3,17029366.42461913,8000000.0,15000000.0,-1000000.0
219,36,4,40078050.073882,2000000.0,-40000000.0,-1500000.0
220,36,5,22392846.513698153,-1200000.0,-10000000.0,20000000.0
221,36,6,25722373.871261805,800000.0,-25000000.0,6000000.0
222,37,1,30103953.90940845,15000000.0,-25000000.0,-7500000.0
223,37,2,25318004.699439857,-20000000.0,4000000.0,15000000.0
224,37,3,17029368.44951973,8000000.0,15000000.0,-1000000.0
225,37,4,40078038.02463982,2000000.0,-40000000.0,-1500000.0
226,37,5,22392861.611096296,-1200000.0,-10000000.0,20000000.0
227,37,6,25722347.551097035,800000.0,-25000000.0,6000000.0
228,38,1,30103975.113003027,15000000.0,-25000000.0,-7500000.0
229,38,2,25318008.461524725,-20000000.0,4000000.0,15000000.0
230,38,3,17029365.15267805,8000000.0,15000000.0,-1000000.0
231,38,4,40078052.20205284,2000000.0,-40000000.0,-1500000.0
232,38,5,22392875.69157992,-1200000.0,-10000000.0,20000000.0
233,38,6,25722359.928561464,800000.0,-25000000.0,6000000.0
234,39,1,30103979.707059924,15000000.0,-25000000.0,-7500000.0
235,39,2,25318015.2766354,-20000000.0,4000000.0,15000000.0
236,39,3,17029363.936694767,8000000.0,15000000.0,-1000000.0
237,39,4,40078046.78471593,2000000.0,-40000000.0,-1500000.0
238,39,5,22392850.884550665,-1200000.0,-10000000.0,20000000.0
239,39,6,25722367.6093994,800000.0,-25000000.0,6000000.0
240,40,1,30103968.240443643,15000000.0,-25000000.0,-7500000.0
241,40,2,25318015.707919355,-20000000.0,4000000.0,15000000.0
242,40,3,17029373.069455817,8000000.0,15000000.0,-1000000.0
243,40,4,40078045.67826821,2000000.0,-40000000.0,-1500000.0
244,40,5,22392863.671474747,-1200000.0,-10000000.0,20000000.0
245,40,6,25722377.068012845,800000.0,-25000000.0,6000000.0
246,41,1,30103966.434185553,15000000.0,-25000000.0,-7500000.0
247,41,2,25318004.385034867,-20000000.0,4000000.0,15000000.0
248,41,3,17029352.91298773,8000000.0,15000000.0,-1000000.0
249,41,4,40078048.545098,2000000.0,-40000000.0,-1500000.0
250,41,5,22392864.90856992,-1200000.0,-10000000.0,20000000.0
251,41,6,25722363.606657427,800000.0,-25000000.0,6000000.0
252,42,1,30103946.889943607,15000000.0,-25000000.0,-7500000.0
253,42,2,25318011.598651186,-20000000.0,4000000.0,15000000.0
254,42,3,17029358.143245112,8000000.0,15000000.0,-1000000.0
255,42,4,40078050.72837995,2000000.0,-40000000.0,-1500000.0
256,42,5,22392860.76688533,-1200000.0,-10000000.0,20000000.0
257,42,6,25722361.68770229,800000.0,-25000000.0,6000000.0
258,43,1,30103952.092663873,15000000.0,-25000000.0,-7500000.0
259,43,2,25318009.747489378,-20000000.0,4000000.0,15000000.0
260,43,3,17029367.574861627,8000000.0,15000000.0,-1000000.0
261,43,4,40078041.97532869,2000000.0,-40000000.0,-1500000.0
262,43,5,22392837.82212313,-1200000.0,-10000000.0,20000000.0
263,43,6,25722373.475823756,800000.0,-25000000.0,6000000.0
264,44,1,30103960.733701352,15000000.0,-25000000.0,-7500000.0
265,44,2,25317998.183654908,-20000000.0,4000000.0,15000000.0
266,44,3,17029367.958825864,8000000.0,15000000.0,-1000000.0
267,44,4,40078048.83500562,2000000.0,-40000000.0,-1500000.0
268,44,5,22392869.055023737,-1200000.0,-10000000.0,20000000.0
269,44,6,25722371.31909774,800000.0,-25000000.0,6000000.0
270,45,1,30103957.71249475,15000000.0,-25000000.0,-7500000.0
271,45,2,25318005.439733434,-20000000.0,4000000.0,15000000.0
272,45,3,17029369.235133976,8000000.0,15000000.0,-1000000.0
273,45,4,40078044.845623896,2000000.0,-40000000.0,-1500000.0
274,45,5,22392851.595165633,-1200000.0,-10000000.0,20000000.0
275,45,6,25722372.442676395,800000.0,-25000000.0,6000000.0
276,46,1,30103960.51972182,15000000.0,-25000000.0,-7500000.0
277,46,2,25318021.994947534,-20000000.0,4000000.0,15000000.0
278,46,3,17029370.446122352,8000000.0,15000000.0,-1000000.0
279,46,4,40078059.807076395,2000000.0,-40000000.0,-1500000.0
280,46,5,22392854.77560093,-1200000.0,-10000000.0,20000000.0
281,46,6,25722341.29523053,800000.0,-25000000.0,6000000.0
282,47,1,30103964.735176954,15000000.0,-25000000.0,-7500000.0
283,47,2,25318003.76922654,-20000000.0,4000000.0,15000000.0
284,47,3,17029358.999949057,8000000.0,15000000.0,-1000000.0
285,47,4,40078052.25161213,2000000.0,-40000000.0,-1500000.0
286,47,5,22392865.73249127,-1200000.0,-10000000.0,20000000.0
287,47,6,25722352.44248084,800000.0,-25000000.0,6000000.0
288,48,1,30103972.244567413,15000000.0,-25000000.0,-7500000.0
289,48,2,25318002.359822694,-20000000.0,4000000.0,15000000.0
290,48,3,17029365.099597316,8000000.0,15000000.0,-1000000.0
291,48,4,40078040.973931424,2000000.0,-40000000.0,-1500000.0
292,48,5,22392853.739597365,-1200000.0,-10000000.0,20000000.0
293,48,6,25722352.30131172,800000.0,-25000000.0,6000000.0
294,49,1,30103953.705687497,15000000.0,-25000000.0,-7500000.0
295,49,2,25318015.27204637,-20000000.0,4000000.0,15000000.0
296,49,3,17029365.64496974,8000000.0,15000000.0,-1000000.0
297,49,4,40078031.447016925,2000000.0,-40000000.0,-1500000.0
298,49,5,22392864.164592367,-1200000.0,-10000000.0,20000000.0
299,49,6,25722361.480801918,800000.0,-25000000.0,6000000.0
300,50,1,30103968.59510347,15000000.0,-25000000.0,-7500000.0
301,50,2,25318018.99413504,-20000000.0,4000000.0,15000000.0
302,50,3,17029356.20298149,8000000.0,15000000.0,-1000000.0
303,50,4,40078042.651894115,2000000.0,-40000000.0,-1500000.0
304,50,5,22392866.93016945,-1200000.0,-10000000.0,20000000.0
305,50,6,25722363.48008684,800000.0,-25000000.0,6000000.0
306,51,1,30103958.16417427,15000000.0,-25000000.0,-7500000.0
307,51,2,25318029.032374833,-20000000.0,4000000.0,15000000.0
308,51,3,17029380.129042268,8000000.0,15000000.0,-1000000.0
309,51,4,40078042.11622983,2000000.0,-40000000.0,-1500000.0
310,51,5,22392858.624967363,-1200000.0,-10000000.0,20000000.0
311,51,6,25722361.55024073,800000.0,-25000000.0,6000000.0
312,52,1,30103956.7916634,15000000.0,-25000000.0,-7500000.0
313,52,2,25318027.53341204,-20000000.0,4000000.0,15000000.0
314,52,3,17029359.348708864,8000000.0,15000000.0,-1000000.0
315,52,4,40078042.17567852,2000000.0,-40000000.0,-1500000.0
316,52,5,22392858.736794975,-1200000.0,-10000000.0,20000000.0
317,52,6,25722360.823699597,800000.0,-25000000.0,6000000.0
318,53,1,30103958.74102386,15000000.0,-25000000.0,-7500000.0
319,53,2,25318013.48290787,-20000000.0,4000000.0,15000000.0
320,53,3,17029358.299104147,8000000.0,15000000.0,-1000000.0
321,53,4,40078047.8788613,2000000.0,-40000000.0,-1500000.0
322,53,5,22392867.83821036,-1200000.0,-10000000.0,20000000.0
323,53,6,25722355.023632865,800000.0,-25000000.0,6000000.0
324,54,1,30103960.573727775,15000000.0,-25000000.0,-7500000.0
325,54,2,25318029.363059524,-20000000.0,4000000.0,15000000.0
326,54,3,17029361.186912514,8000000.0,15000000.0,-1000000.0
327,54,4,40078056.082965076,2000000.0,-40000000.0,-1500000.0
328,54,5,22392857.481944386,-1200000.0,-10000000.0,20000000.0
329,54,6,25722358.480840705,800000.0,-25000000.0,6000000.0
330,55,1,30103955.622198895,15000000.0,-25000000.0,-7500000.0
331,55,2,25318024.848138873,-20000000.0,4000000.0,15000000.0
332,55,3,17029361.43877984,8000000.0,15000000.0,-1000000.0
333,55,4,40078041.76650503,2000000.0,-40000000.0,-1500000.0
334,55,5,22392861.25881768,-1200000.0,-10000000.0,20000000.0
335,55,6,25722369.8211981,800000.0,-25000000.0,6000000.0
336,56,1,30103969.331447173,15000000.0,-25000000.0,-7500000.0
337,56,2,25318026.931487206,-20000000.0,4000000.0,15000000.0
338,56,3,17029372.60580563,8000000.0,15000000.0,-1000000.0
339,56,4,40078035.4350282,2000000.0,-40000000.0,-1500000.0
340,56,5,22392851.719002374,-1200000.0,-10000000.0,20000000.0
341,56,6,25722347.82815343,800000.0,-25000000.0,6000000.0
342,57,1,30103953.763172954,15000000.0,-25000000.0,-7500000.0
343,57,2,25318022.103543635,-20000000.0,4000000.0,15000000.0
344,57,3,17029357.468546305,8000000.0,15000000.0,-1000000.0
345,57,4,40078045.19777839,2000000.0,-40000000.0,-1500000.0
346,57,5,22392862.81691534,-1200000.0,-10000000.0,20000000.0
347,57,6,25722362.533849854,800000.0,-25000000.0,6000000.0
348,58,1,30103961.47920606,15000000.0,-25000000.0,-7500000.0
349,58,2,25318017.1632667,-20000000.0,4000000.0,15000000.0
350,58,3,17029358.324751325,8000000.0,15000000.0,-1000000.0
351,58,4,40078053.156657204,2000000.0,-40000000.0,-1500000.0
352,58,5,22392864.839674972,-1200000.0,-10000000.0,20000000.0
353,58,6,25722373.1132863,800000.0,-25000000.0,6000000.0
354,59,1,30103966.577126384,15000000.0,-25000000.0,-7500000.0
355,59,2,25318021.784631427,-20000000.0,4000000.0,15000000.0
356,59,3,17029355.11706821,8000000.0,15000000.0,-1000000.0
357,59,4,40078027.19969593,2000000.0,-40000000.0,-1500000.0
358,59,5,22392857.100320265,-1200000.0,-10000000.0,20000000.0
359,59,6,25722363.704801936,800000.0,-25000000.0,6000000.0
360,60,1,30103948.99890451,15000000.0,-25000000.0,-7500000.0
361,60,2,25318033.27175785,-20000000.0,4000000.0,15000000.0
362,60,3,17029343.933163498,8000000.0,15000000.0,-1000000.0
363,60,4,40078045.88268974,2000000.0,-40000000.0,-1500000.0
364,60,5,22392866.725055344,-1200000.0,-10000000.0,20000000.0
365,60,6,25722355.739133418,800000.0,-25000000.0,6000000.0
366,61,1,30103945.043370657,15000000.0,-25000000.0,-7500000.0
367,61,2,25318030.13684601,-20000000.0,4000000.0,15000000.0
368,61,3,17029349.814271245,8000000.0,15000000.0,-1000000.0
369,61,4,40078048.16261987,2000000.0,-40000000.0,-1500000.0
370,61,5,22392867.767445624,-1200000.0,-10000000.0,20000000.0
371,61,6,25722359.57549574,800000.0,-25000000.0,6000000.0
372,62,1,30103965.32913491,15000000.0,-25000000.0,-7500000.0
373,62,2,25318017.2381144,-20000000.0,4000000.0,15000000.0
374,62,3,17029364.729050536,8000000.0,15000000.0,-1000000.0
375,62,4,40078051.22358936,2000000.0,-40000000.0,-1500000.0
376,62,5,22392856.28206974,-1200000.0,-10000000.0,20000000.0
377,62,6,25722350.68791943,800000.0,-25000000.0,6000000.0
378,63,1,30103941.95766423,15000000.0,-25000000.0,-7500000.0
379,63,2,25318032.243815582,-20000000.0,4000000.0,15000000.0
380,63,3,17029363.868354205,8000000.0,15000000.0,-1000000.0
381,63,4,40078044.12250702,2000000.0,-40000000.0,-1500000.0
382,63,5,22392848.42694124,-1200000.0,-10000000.0,20000000.0
383,63,6,25722345.671588223,800000.0,-25000000.0,6000000.0
384,64,1,30103962.075266484,15000000.0,-25000000.0,-7500000.0
385,64,2,25318033.03954779,-20000000.0,4000000.0,15000000.0
386,64,3,17029359.972316977,8000000.0,15000000.0,-1000000.0
387,64,4,40078037.322729796,2000000.0,-40000000.0,-1500000.0
388,64,5,22392858.478996973,-1200000.0,-10000000.0,20000000.0
389,64,6,25722358.344973654,800000.0,-25000000.0,6000000.0
390,65,1,30103942.960295543,15000000.0,-25000000.0,-7500000.0
391,65,2,25318037.50457227,-20000000.0,4000000.0,15000000.0
392,65,3,17029363.59366107,8000000.0,15000000.0,-1000000.0
393,65,4,40078036.49186471,2000000.0,-40000000.0,-1500000.0
394,65,5,22392865.148836594,-1200000.0,-10000000.0,20000000.0
395,65,6,25722362.03711495,800000.0,-25000000.0,6000000.0
396,66,1,30103954.003263537,15000000.0,-25000000.0,-7500000.0
397,66,2,25318036.025276083,-20000000.0,4000000.0,15000000.0
398,66,3,17029357.272414487,8000000.0,15000000.0,-1000000.0
399,66,4,40078045.40021084,2000000.0,-40000000.0,-1500000.0
400,66,5,22392854.17379767,-1200000.0,-10000000.0,20000000.0
401,66,6,25722355.820768397,800000.0,-25000000.0,6000000.0
402,67,1,30103942.255493432,15000000.0,-25000000.0,-7500000.0
403,67,2,25318035.88589405,-20000000.0,4000000.0,15000000.0
404,67,3,17029345.578629754,8000000.0,15000000.0,-1000000.0
405,67,4,40078053.42861127,2000000.0,-40000000.0,-1500000.0
406,67,5,22392875.06144154,-1200000.0,-10000000.0,20000000.0
407,67,6,25722363.810793508,800000.0,-25000000.0,6000000.0
408,68,1,30103957.685487956,15000000.0,-25000000.0,-7500000.0
409,68,2,25318036.67034056,-20000000.0,4000000.0,15000000.0
410,68,3,17029332.191964064,8000000.0,15000000.0,-1000000.0
411,68,4,40078044.75115048,2000000.0,-40000000.0,-1500000.0
412,68,5,22392867.43597951,-1200000.0,-10000000.0,20000000.0
413,68,6,25722360.3677453,800000.0,-25000000.0,6000000.0
414,69,1,30103954.370014813,15000000.0,-25000000.0,-7500000.0
415,69,2,25318033.72805242,-20000000.0,4000000.0,15000000.0
416,69,3,17029355.252521116,8000000.0,15000000.0,-1000000.0
